S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
141,MKCL,"1,535.00",-2.00,-0.13,"1,507.10","1,537.00","1,495.00","8,826.00","1,537.00"
142,MKHC,603.00,21.00,3.61,570.40,617.50,570.40,"138,066.00",582.00
143,MKHL,690.00,9.00,1.32,693.00,693.00,667.10,"37,249.00",681.00
144,MKJC,606.00,12.10,2.04,600.00,615.10,595.00,"100,128.00",593.90
145,MLBBL,"1,767.90",19.90,1.14,"1,714.00","1,779.00","1,714.00","5,450.00","1,748.00"
146,MLBL,402.00,17.00,4.42,386.90,409.00,386.50,"161,943.00",385.00
147,MLBLD89,"1,163.00",-17.00,-1.44,"1,163.00","1,163.00","1,163.00",103.00,"1,180.00"
148,MLBS,"2,120.00",25.00,1.19,"2,090.00","2,124.00","2,085.00","3,675.00","2,095.00"
149,MLBSL,"2,278.00",-17.00,-0.74,"2,330.00","2,330.00","2,267.00","1,763.00","2,295.00"
150,MMF1,8.58,0.07,0.82,8.51,8.60,8.36,"67,938.00",8.51
151,MMKJL,837.00,-19.00,-2.22,839.00,844.00,815.20,"68,816.00",856.00
152,MNBBL,376.00,5.60,1.51,372.00,376.60,368.50,"100,356.00",370.40
153,MND84/85,"1,025.00",-6.00,-0.58,"1,025.00","1,025.00","1,025.00",25.00,"1,031.00"
154,MNMF1,9.14,0.05,0.55,8.92,9.40,8.75,"81,360.00",9.09
155,MPFL,645.00,26.10,4.22,631.20,647.00,615.30,"41,304.00",618.90
156,MSHL,989.00,51.00,5.44,955.90,"1,013.80",941.20,"29,972.00",938.00
157,MSLB,"1,419.90",-30.10,-2.08,"1,421.00","1,422.00","1,323.00","21,261.00","1,450.00"
158,NABBC,"1,208.00",-10.00,-0.82,"1,193.70","1,279.00","1,147.00","36,001.00","1,218.00"
159,NABIL,476.00,-3.50,-0.73,478.00,481.00,475.00,"108,959.00",479.50
160,NADEP,960.00,17.90,1.90,950.00,960.00,941.30,"6,079.00",942.10
161,NBF2,9.14,-0.08,-0.87,9.04,9.40,8.86,"128,854.00",9.22
162,NBF3,9.17,-0.01,-0.11,9.02,9.34,8.91,"30,650.00",9.18
163,NBL,245.00,-1.30,-0.53,245.00,246.90,244.30,"58,427.00",246.30
164,NBLD85,"1,011.00",-1.50,-0.15,"1,031.00","1,031.00","1,011.00",150.00,"1,012.50"
165,NBLD87,"1,027.00",-13.00,-1.25,"1,025.00","1,027.00","1,025.00",55.00,"1,040.00"
166,NESDO,"2,377.00",27.50,1.17,"2,311.10","2,443.00","2,311.10","2,608.00","2,349.50"
167,NFS,715.00,-14.00,-1.92,715.00,742.50,703.00,"63,472.00",729.00
168,NGPL,292.00,18.50,6.76,270.20,299.80,269.00,"609,167.00",273.50
169,NHDL,790.00,-14.10,-1.75,820.00,829.80,783.10,"84,362.00",804.10
170,NHPC,220.00,4.50,2.09,215.00,221.30,215.00,"115,410.00",215.50
171,NIBD84,"1,023.00",-7.00,-0.68,"1,023.20","1,023.20","1,023.00",50.00,"1,030.00"
172,NIBLGF,8.42,-0.18,-2.09,8.45,8.52,8.25,"324,100.00",8.60
173,NIBLSTF,9.07,-0.01,-0.11,8.90,9.08,8.90,"1,900.00",9.08
174,NIBSF2,8.31,-0.19,-2.24,8.33,8.67,8.08,"66,423.00",8.50
175,NICA,357.00,4.00,1.13,353.00,362.00,350.00,"104,728.00",353.00
176,NICAD8283,"1,075.00",-16.50,-1.51,"1,075.00","1,075.00","1,069.90","1,345.00","1,091.50"
177,NICAD85/86,"1,061.10",7.10,0.67,"1,057.10","1,061.10","1,057.00",155.00,"1,054.00"
178,NICBF,9.36,-0.38,-3.90,9.55,9.55,9.36,"3,500.00",9.74
179,NICD88,"1,021.00",-2.00,-0.20,"1,021.00","1,021.00","1,021.00",25.00,"1,023.00"
180,NICFC,9.50,-0.13,-1.35,9.44,9.50,9.00,"174,600.00",9.63
